,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
6599,xaytea_P1,320.378,1195.33,1006.22,4.57462,3.08227,4.39213
6600,xaytie_P1,252.543,983.154,793.17,3.99468,3.35039,3.99468
6604,xecqij_P1_H,328.563,1683.88,1107.75,5.55146,4.15378,5.4991
6605,xeczoy_P1_H,703.313,472.702,342.928,5.18501,3.75577,5.12804
6606,xeddix_P1_H,602.599,1498.55,1218.17,7.19225,5.38208,7.19225
6607,xedgiy_P1_H,1824.74,1817.73,1679.68,6.67115,4.33797,6.36489
6609,xedpih_P1,206.489,1050.59,587.888,4.80407,3.92593,4.80407
6610,xedpon_P1,233.893,1083.34,722.947,6.66872,3.39925,6.66872
6612,xefhic_P1,222.804,1023.6,734.389,6.58676,4.67431,6.58676
6613,xefxoy_P1,986.664,2210.04,3317.49,10.19441,8.93135,10.18174
6614,xegjie02_P1,1289.66,1408.26,1039.7,5.55026,4.32814,5.16302
6615,xegjie_P1,1299.85,1419.39,1047.92,5.55026,4.32814,5.10776
6616,xegjok_P1,1570.79,1600.68,1266.34,6.204,5.25414,6.19309
6617,xegjuq_P1,1490.34,1563.56,1201.48,5.96608,4.59874,5.95663
6618,xegkax_P1,1812.78,1790.25,1461.43,6.10635,4.67329,5.55544
6619,xegkeb_P1,1573.61,1590.36,1268.62,6.8383,5.40377,6.83709
6620,xegkif_P1,545.18,1217.33,848.131,5.20553,3.75045,4.81759
6621,xegkol_P1,1818.24,1710.89,1414.31,6.63756,5.74114,6.54896
6622,xegqos_P1,1191.1,1344.78,1227.64,11.0489,10.60133,11.04807
6623,xegsio_P1,507.584,854.91,565.562,5.40845,5.12291,5.40689
6624,xegvox_P1,461.74,796.895,512.209,5.25459,4.99042,5.25459
6625,xehdog_P1_charged_H,881.404,1091.46,956.794,8.12542,7.38981,8.12542
6626,xejgol_P1_charged_H,3311.54,1882.02,1844.12,8.31836,5.45209,8.31732
6628,xejjii_P1,2010.44,2611.27,2998.75,7.11576,5.78825,7.08871
6631,xejkuv_P1,1006.12,1052.03,799.177,5.41983,3.24786,5.39946
6632,xejtir_P1,278.936,898.524,745.926,4.61553,2.91875,4.59351
6633,xejvoz_P1,317.662,495.781,219.855,5.03785,4.69979,5.03785
6634,xejwug_P1,89.4822,781.775,500.63,4.33827,3.4828,4.32704
6635,xejxer_P1_H,180.72,752.747,481.761,4.12242,3.5775,4.12173
6636,xekdaw_P1_H,330.911,1200.18,903.856,4.42981,3.03625,4.42428
6637,xekmil_P1,188.838,744.41,363.462,4.44884,3.38787,4.44716
6639,xekyoe_P1,466.67,2526.36,2377.07,4.85502,3.97445,4.85502
6641,xemroz_P1,95.4808,849.873,627.318,4.22907,2.83701,3.80672
6642,xemruf_P1,1018.59,1819.36,1654.96,5.32496,3.69453,5.29853
6645,xenlel_P1_charged,3264.21,3016.14,4539.21,7.67276,5.32574,7.66792
6646,xenzun_P1_charged,1252.3,1238.65,1144.46,9.38418,3.79095,9.38418
6647,xeqgeh_P1,391.657,992.382,863.26,4.48007,3.92805,4.47945
6652,xeskaj_P1,534.559,1241.07,1008.26,9.65457,9.12635,9.65457
6653,xesken_P1_H,528.193,1229.03,1006.42,9.90803,9.31615,9.89428
